# Train        Test        
    4.230971     4.280430 
    3.043940     4.099218 
    2.604728     3.778575 
    2.292628     3.632513 
    2.067430     2.976228 
    1.828776     3.156725 
    1.671881     2.843043 
    1.545841     2.628872 
    1.392681     2.021006 
    1.343760     2.104281 
    1.257551     1.903327 
    1.168837     1.909932 
    1.156265     1.750587 
    1.077348     1.725460 
    1.050091     1.729532 
    0.998307     1.528061 
    0.952445     1.636192 
    0.944433     1.388523 
    0.891732     1.275976 
    0.890018     1.225969 
    0.853577     1.445242 
    0.832797     1.324912 
    0.808280     1.118782 
    0.785376     1.378652 
    0.774810     1.264629 
    0.760674     1.255443 
    0.703326     1.298650 
    0.705381     1.035585 
    0.705371     1.292818 
    0.668154     1.274350 
    0.664161     1.043466 
    0.640474     1.129810 
    0.639520     0.976563 
    0.628253     0.944572 
    0.628040     1.015577 
    0.591534     0.839096 
    0.571507     1.297266 
    0.583059     0.883814 
    0.578734     0.945047 
    0.572316     0.995504 
    0.539759     0.849728 
    0.534784     0.938934 
    0.512246     0.870894 
    0.510676     0.812519 
    0.501036     0.911590 
    0.516732     0.809595 
    0.493809     0.772240 
    0.509128     0.747105 
    0.489329     0.861725 
    0.476485     0.879336 
    0.478774     0.773730 
    0.457586     0.831221 
    0.431845     0.731470 
    0.452336     0.743331 
    0.440025     0.785538 
    0.451374     0.835215 
    0.425237     0.802026 
    0.450618     0.749743 
    0.430807     0.807217 
    0.425362     0.946768 
    0.410812     0.772505 
    0.415542     0.721160 
    0.411501     0.858598 
    0.412504     0.716527 
    0.392363     0.679740 
    0.379618     0.803212 
    0.405100     0.695180 
    0.379379     0.611769 
    0.393100     0.685000 
    0.380672     0.749828 
    0.365829     0.640112 
    0.374736     0.712676 
    0.372074     0.738184 
    0.378289     0.795148 
    0.362159     0.700291 
    0.378287     0.752495 
    0.349610     0.706060 
    0.350983     0.792897 
    0.355106     0.627430 
    0.346759     0.786506 
    0.356068     0.645765 
    0.346002     0.578075 
    0.342232     0.603679 
    0.329353     0.608632 
    0.345454     0.622239 
    0.338194     0.637377 
    0.333311     0.607733 
    0.320946     0.628011 
    0.330952     0.570154 
    0.330677     0.716077 
    0.324121     0.627253 
    0.323291     0.563563 
    0.321499     0.588960 
    0.315798     0.638029 
    0.313748     0.561927 
    0.329625     0.652503 
    0.313439     0.528384 
    0.306490     0.601309 
    0.302097     0.586273 
    0.305081     0.586178 
