# Train        Test        
    0.254529     0.142763 
    0.477318     0.250658 
    0.576095     0.343421 
    0.632606     0.388158 
    0.686639     0.498684 
    0.722712     0.417105 
    0.754142     0.484868 
    0.772256     0.500658 
    0.790370     0.575000 
    0.814213     0.564474 
    0.828147     0.593421 
    0.846416     0.684211 
    0.854776     0.662500 
    0.866698     0.668421 
    0.874129     0.700000 
    0.875058     0.680921 
    0.877380     0.709211 
    0.886050     0.737500 
    0.904165     0.723026 
    0.909119     0.727632 
    0.908964     0.718421 
    0.915931     0.730921 
    0.919492     0.776316 
    0.924911     0.730263 
    0.926769     0.750658 
    0.930330     0.765789 
    0.934665     0.725658 
    0.939464     0.769737 
    0.941167     0.765132 
    0.940858     0.744079 
    0.946586     0.730263 
    0.952005     0.764474 
    0.950147     0.776316 
    0.948444     0.784868 
    0.955566     0.759868 
    0.954947     0.723684 
    0.958972     0.787500 
    0.958353     0.773684 
    0.960520     0.788158 
    0.960985     0.798026 
    0.961139     0.786842 
    0.967487     0.771711 
    0.965475     0.785526 
    0.960985     0.813158 
    0.967642     0.782237 
    0.967178     0.803947 
    0.968571     0.798026 
    0.971358     0.821711 
    0.971667     0.835526 
    0.971977     0.811184 
