# Train        Test        
    0.179732     0.141000 
    0.310852     0.161000 
    0.375589     0.225000 
    0.449035     0.384000 
    0.496822     0.290000 
    0.533898     0.355000 
    0.563206     0.402000 
    0.590042     0.342000 
    0.615584     0.486000 
    0.639948     0.571000 
    0.658663     0.506000 
    0.675377     0.545000 
    0.687735     0.470000 
    0.682674     0.500000 
    0.704449     0.597000 
    0.709393     0.609000 
    0.716219     0.525000 
    0.717161     0.664000 
    0.729284     0.581000 
    0.741055     0.633000 
    0.738701     0.661000 
    0.753649     0.565000 
    0.757415     0.654000 
    0.756356     0.639000 
    0.768362     0.592000 
    0.769421     0.654000 
    0.779661     0.619000 
    0.775659     0.637000 
    0.777895     0.649000 
    0.786723     0.598000 
    0.789548     0.718000 
    0.792491     0.665000 
    0.804261     0.635000 
    0.800494     0.659000 
    0.802613     0.648000 
    0.809322     0.717000 
    0.806379     0.710000 
    0.814501     0.719000 
    0.825918     0.740000 
    0.815560     0.656000 
    0.825565     0.727000 
    0.830979     0.720000 
    0.826036     0.705000 
    0.831215     0.659000 
    0.832156     0.674000 
    0.834628     0.766000 
    0.839218     0.745000 
    0.844868     0.680000 
    0.847340     0.753000 
    0.841573     0.756000 
    0.843103     0.697000 
    0.843573     0.717000 
    0.850282     0.740000 
    0.844162     0.717000 
    0.856285     0.762000 
    0.852283     0.745000 
    0.853343     0.772000 
    0.861229     0.762000 
    0.864760     0.767000 
    0.863347     0.752000 
    0.864524     0.727000 
    0.866879     0.739000 
    0.858051     0.783000 
    0.865702     0.733000 
    0.863112     0.743000 
    0.870763     0.776000 
    0.872646     0.777000 
    0.870527     0.801000 
    0.874294     0.757000 
    0.874529     0.784000 
    0.875471     0.772000 
    0.876177     0.822000 
    0.881591     0.812000 
    0.876412     0.798000 
    0.881827     0.734000 
    0.880650     0.811000 
    0.882062     0.797000 
    0.888183     0.798000 
    0.890066     0.728000 
    0.888418     0.826000 
    0.890537     0.816000 
    0.886417     0.764000 
    0.888065     0.772000 
    0.889477     0.798000 
    0.890537     0.758000 
    0.884769     0.796000 
    0.891125     0.787000 
    0.892891     0.809000 
    0.897010     0.824000 
    0.895245     0.808000 
    0.891831     0.789000 
    0.896893     0.828000 
    0.902189     0.808000 
    0.893832     0.822000 
    0.893479     0.816000 
    0.904073     0.766000 
    0.899718     0.811000 
    0.900541     0.790000 
    0.904426     0.815000 
    0.903602     0.819000 
