# Train        Test        
    4.085251     3.788465 
    2.904225     3.921301 
    2.474196     3.221158 
    2.123336     2.497382 
    1.900583     3.219360 
    1.771481     2.782261 
    1.595530     1.886856 
    1.507668     2.364432 
    1.357120     2.167150 
    1.290555     1.592200 
    1.227487     1.761764 
    1.145219     1.555197 
    1.135488     1.772099 
    1.121812     1.719196 
    1.045213     1.356806 
    1.038942     1.395627 
    0.999803     1.769752 
    1.001006     1.162224 
    0.959800     1.492711 
    0.918776     1.410329 
    0.938355     1.248039 
    0.877028     1.478150 
    0.874375     1.240697 
    0.856330     1.313863 
    0.838410     1.398992 
    0.812656     1.206629 
    0.809895     1.202693 
    0.776702     1.325183 
    0.791336     1.298214 
    0.757750     1.403650 
    0.745486     1.004438 
    0.762271     1.167516 
    0.705853     1.101661 
    0.708508     1.124081 
    0.698861     1.195777 
    0.710915     1.053296 
    0.685828     0.990370 
    0.677723     0.920649 
    0.630359     0.881776 
    0.640006     1.123105 
    0.629086     0.934423 
    0.627841     1.013955 
    0.618146     1.023798 
    0.602218     1.170971 
    0.588258     1.143967 
    0.580120     0.849927 
    0.588564     0.884915 
    0.569229     1.061222 
    0.554024     0.888287 
    0.558289     0.883952 
    0.565690     1.098317 
    0.554763     0.972106 
    0.550727     0.909814 
    0.552518     1.001596 
    0.535845     0.801877 
    0.546012     0.821146 
    0.530479     0.767805 
    0.504935     0.817392 
    0.492302     0.852458 
    0.484695     0.860458 
    0.497232     0.956325 
    0.491160     0.884982 
    0.492628     0.796109 
    0.480016     0.908566 
    0.503518     0.935856 
    0.489767     0.810812 
    0.471936     0.808847 
    0.468009     0.664216 
    0.472046     0.816220 
    0.459632     0.751618 
    0.459722     0.797052 
    0.472870     0.660622 
    0.443458     0.650881 
    0.447071     0.748585 
    0.437891     0.967603 
    0.437650     0.675999 
    0.428144     0.695837 
    0.418378     0.740493 
    0.410187     0.942244 
    0.410570     0.625997 
    0.420160     0.641999 
    0.430144     0.823943 
    0.432559     0.742295 
    0.405457     0.687407 
    0.406418     0.786526 
    0.413500     0.711921 
    0.419005     0.702086 
    0.386208     0.631287 
    0.381194     0.605653 
    0.391652     0.655352 
    0.402631     0.736899 
    0.376849     0.700608 
    0.382831     0.705058 
    0.379728     0.601611 
    0.405084     0.670559 
    0.352072     0.826826 
    0.363626     0.651972 
    0.378181     0.735663 
    0.354840     0.681883 
    0.363256     0.571231 
